disaster_type,severity,temp,humidity,rain_1h,wind_speed,pressure,clouds
Floods,Low,297.37418102766713,76.48990367303477,0.48674457125589154,1.0409589221029854,1008.3646624630876,35.65554175555222
Floods,Low,296.8898648715872,64.85319064117624,4.966796717605892,4.323367515543803,1013.1723207943094,26.0713200479494
Floods,Low,293.21320207474326,61.48045257092416,3.8431383626395528,4.18567018981948,1009.6783928590979,42.82556097992683
Floods,Low,292.20178334209726,76.63385062314816,0.9166378414497067,3.889818396819986,1019.0997393282074,41.65276202922864
Floods,Low,290.8874293285549,62.405711553854815,1.464996891355876,3.356801928136834,1015.7317748798938,35.73840814510897
Floods,Low,295.0085009475883,66.42219737075685,4.851196783988584,4.426253156871887,1007.0752174250905,32.683475756164775
Floods,Low,291.3224346574399,62.138594808068625,1.9069818426948721,2.323719012472647,1011.7751470413906,27.492655477358547
Floods,Low,293.12286598326966,77.9481572248173,3.88669917887135,4.146120751862503,1018.8001270027034,37.06322245819942
Floods,Low,299.2828549379844,69.52203751608512,4.112406906949967,4.410317186840437,1011.9257454676487,24.130323352694532
Floods,Low,299.1521336503222,75.38690319333733,2.4221007508629415,3.769693898525551,1012.6997318972507,45.85081853066518
Floods,Low,296.0990428916801,61.11195700026251,2.3544275463386812,2.39521380175311,1015.3074037972459,45.861002336882365
Floods,Low,292.0160344229075,67.7093425812323,0.057655226857856734,2.3226220541896545,1019.8191135158039,30.808729545852092
Floods,Low,295.70709130076403,78.73243668065786,3.197346963375964,2.592769015103851,1014.8205636529844,32.03691865321406
Floods,Low,293.94912842059523,69.08288126272993,1.686727780203,4.34983181302243,1013.0541870758896,20.583286968649368
Floods,Low,293.80673608068685,65.66525459990291,2.7988722991375576,1.4528542718616895,1014.6532071834677,43.27999040012173
Floods,Low,293.19389485082064,75.73734441445775,2.9486111581300682,1.2030250113269507,1015.8012142282713,40.145765422736346
Floods,Low,293.32781233637223,64.0816006881394,2.9110307456500473,2.7784470029078707,1016.6119373285228,30.011277367445672
